﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.280208302,-0.481481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,100,2.8277,space,0,4.3632,0,15,15,15,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,1.373,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.353125,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,100,3.2643,space,0,10.7421,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,1.0903,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,-0.309375,-0.462963019,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,50,1.7869,space,20,3.5692,,,,,,0,17,17,17,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.6561,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.255208397,-0.490740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.263541698,-0.505555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.15825237,2.4653,space,49.68434343,3.5005,0,19,19,19,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,0.8957,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.301041698,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,2.484375,3.6791,space,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.967,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.252083302,-0.5,1,0,0,LeftButton,"[""LeftButton""]",0,2.4421,space,1.0936,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,小于,大于,,0.261458397,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,0,2.7718,space,0,4.2094,,,,,,0,22,22,22,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,1.74,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,-0.277083302,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaoru,1,2024-06-01_01h12.12.802,interaction task chi,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,,大于,小于,,0.302083397,-0.490740797,1,0,0,RightButton,"[""RightButton""]",50,3.0195,space,1.2925,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,,,,,,,,,,,
